,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
LREN3,"25,80%","22,73%","23,71%","25,05%","25,41%","27,28%","27,22%","29,17%","30,16%","21,88%","76,54%","91,57%","99,86%","107,70%","135,07%","181,36%","144,01%","113,88%","100,54%","114,16%"
MGLU3,"25,94%","18,76%","13,93%","-11,40%","19,25%","16,38%","-1,09%","1,88%","145,11%","1.529,06%","279,11%","255,82%","876,29%","850,40%","681,29%","574,38%","566,08%","369,74%","4.565,46%","-31.106,38%"
MRVE3,"14,91%","11,79%","11,79%","11,67%","16,41%","10,32%","13,88%","22,21%","22,07%","14,47%","153,28%","122,77%","122,77%","103,20%","104,09%","107,76%","127,09%","117,09%","96,47%","54,46%"
RENT3,"21,30%","19,44%","18,63%","20,73%","24,80%","28,66%","18,19%","26,03%","28,47%","15,42%","256,44%","246,13%","173,99%","155,31%","190,88%","205,34%","177,22%","206,21%","200,64%","196,16%"
GUAR3,"25,07%","14,36%","8,88%","10,33%","15,12%","14,87%","14,47%","16,26%","17,33%","12,77%","25,88%","16,13%","16,91%","12,39%","12,68%","13,33%","12,49%","12,73%","15,83%","17,47%"
GRND3,"16,90%","20,54%","21,71%","21,07%","21,17%","21,04%","21,97%","16,96%","18,66%","18,59%","11,14%","11,03%","10,67%","14,48%","12,66%","10,89%","12,57%","13,37%","18,88%","20,59%"
ALPA3,"13,92%","16,57%","16,57%","14,80%","14,02%","16,90%","16,91%","20,80%","23,38%","11,66%","39,55%","47,39%","47,39%","68,89%","51,93%","60,60%","41,84%","38,10%","47,11%","35,63%"
MYPK3,"6,89%","0,27%","1,21%","2,29%","4,90%","13,95%","7,32%","24,32%","21,06%","8,41%","43,27%","41,64%","83,81%","91,54%","150,26%","175,04%","96,43%","109,71%","112,98%","74,38%"
HGTX3,"18,14%","21,39%","16,49%","23,95%","29,63%","35,07%","39,67%","41,82%","40,14%","37,23%","29,23%","24,88%","26,37%","25,38%","33,31%","43,40%","51,03%","56,11%","69,30%","83,49%"
LAME3,"7,73%","5,14%","10,63%","14,36%","25,48%","38,48%","47,83%","44,47%","57,13%","91,76%","258,71%","276,49%","541,54%","607,62%","564,26%","575,65%","765,72%","698,35%","828,46%","2.245,68%"
TEND3,"16,72%","9,21%","5,40%","2,78%","-13,38%","-7,62%","-6,71%","-31,73%","7,24%","5,70%","63,64%","53,07%","115,22%","121,23%","280,14%","224,53%","111,60%","74,37%","83,31%","98,67%"
JHSF3,"7,40%","-1,07%","-12,13%","4,02%","1,67%","14,21%","13,76%","18,32%","19,14%","15,99%","56,92%","42,28%","51,00%","41,55%","35,13%","37,57%","87,84%","64,13%","43,77%","34,45%"
WHRL3,"8,25%","19,47%","12,94%","12,26%","35,40%","34,57%","29,88%","21,49%","37,90%","22,68%","219,22%","207,10%","183,56%","154,44%","209,17%","179,97%","182,30%","177,56%","175,75%","127,80%"
CTNM3,"14,30%","6,03%","-19,55%","-8,86%","-7,90%","-2,00%","-9,67%","-21,34%","0,15%","0,22%","30,12%","54,52%","52,06%","19,65%","13,32%","8,28%","11,25%","7,63%","4,74%","7,72%"
ARZZ3,"20,05%","23,23%","17,34%","19,37%","19,57%","21,49%","21,34%","23,85%","44,14%","40,77%","37,42%","55,34%","24,71%","33,18%","29,57%","23,65%","25,29%","26,45%","69,51%","87,84%"
VULC3,"16,16%","24,09%","69,12%","-140,65%","-119,75%","-95,04%","-5.610,97%","-148,42%","22,78%","30,59%","0,76%","0,88%","183,44%","966,22%","430,48%","114,18%","947,31%","37,49%","15,70%","46,14%"
TRIS3,"12,83%","6,70%","0,51%","3,75%","3,94%","6,03%","5,61%","-8,73%","7,79%","12,24%","49,69%","34,56%","57,26%","41,84%","33,37%","59,67%","108,27%","132,92%","141,66%","63,26%"
LLIS3,"4,65%","19,59%","-3,67%","-0,99%","-0,25%","-11,79%","5,60%","19,11%","24,22%","4,31%","66,54%","71,95%","78,42%","69,49%","74,53%","533,88%","367,72%","175,55%","79,79%","37,12%"
EZTC3,"3,74%","14,15%","8,14%","16,43%","19,65%","27,88%","20,32%","23,53%","22,19%","20,62%","30,04%","32,42%","17,43%","17,39%","16,54%","16,07%","13,60%","13,81%","7,85%","3,90%"
